date,1. open,2. high,3. low,4. close,5. volume
2025-06-17 10:25:00+02:00,1.1546,1.1547,1.1541,1.1544,0.0
2025-06-17 10:20:00+02:00,1.1552,1.1552,1.1543,1.1546,0.0
2025-06-17 10:15:00+02:00,1.1554,1.1555,1.1552,1.1552,0.0
2025-06-17 10:10:00+02:00,1.1558,1.1559,1.1552,1.1555,0.0
2025-06-17 10:05:00+02:00,1.1559,1.1561,1.1556,1.1558,0.0
2025-06-17 10:00:00+02:00,1.1562,1.1565,1.1558,1.1559,0.0
2025-06-17 09:55:00+02:00,1.1562,1.1563,1.1558,1.1562,0.0
2025-06-17 09:50:00+02:00,1.1562,1.1564,1.1558,1.1562,0.0
2025-06-17 09:45:00+02:00,1.1562,1.1565,1.1557,1.1562,0.0
2025-06-17 09:40:00+02:00,1.1562,1.1563,1.1558,1.1562,0.0
2025-06-17 09:35:00+02:00,1.1561,1.1562,1.1558,1.1562,0.0
2025-06-17 09:30:00+02:00,1.1565,1.1566,1.156,1.1561,0.0
2025-06-17 09:25:00+02:00,1.1568,1.1569,1.1563,1.1565,0.0
2025-06-17 09:20:00+02:00,1.1559,1.1569,1.1559,1.1568,0.0
2025-06-17 09:15:00+02:00,1.1559,1.1563,1.1558,1.1559,0.0
2025-06-17 09:10:00+02:00,1.1559,1.156,1.1555,1.1559,0.0
2025-06-17 09:05:00+02:00,1.155,1.1559,1.155,1.1559,0.0
2025-06-17 09:00:00+02:00,1.1557,1.1557,1.1547,1.155,0.0
2025-06-17 08:55:00+02:00,1.1555,1.1558,1.155,1.1557,0.0
2025-06-17 08:50:00+02:00,1.1562,1.1563,1.1555,1.1556,0.0
2025-06-17 08:45:00+02:00,1.1563,1.1564,1.1558,1.1562,0.0
2025-06-17 08:40:00+02:00,1.1567,1.1568,1.156,1.1563,0.0
2025-06-17 08:35:00+02:00,1.1567,1.158,1.1564,1.1566,0.0
2025-06-17 08:30:00+02:00,1.157,1.1572,1.1566,1.1567,0.0
2025-06-17 08:25:00+02:00,1.157,1.1573,1.1569,1.1571,0.0
2025-06-17 08:20:00+02:00,1.1569,1.1573,1.1569,1.157,0.0
2025-06-17 08:15:00+02:00,1.1569,1.1571,1.1567,1.1569,0.0
2025-06-17 08:10:00+02:00,1.1565,1.1569,1.1563,1.1569,0.0
2025-06-17 08:05:00+02:00,1.1561,1.1566,1.1561,1.1565,0.0
2025-06-17 08:00:00+02:00,1.156,1.1565,1.156,1.1561,0.0
2025-06-17 07:55:00+02:00,1.1561,1.1562,1.1557,1.156,0.0
2025-06-17 07:50:00+02:00,1.1565,1.1566,1.1561,1.1561,0.0
2025-06-17 07:45:00+02:00,1.1565,1.1567,1.1565,1.1566,0.0
2025-06-17 07:40:00+02:00,1.1567,1.1568,1.1564,1.1565,0.0
2025-06-17 07:35:00+02:00,1.1569,1.157,1.1567,1.1568,0.0
2025-06-17 07:30:00+02:00,1.1571,1.1571,1.1568,1.1569,0.0
2025-06-17 07:25:00+02:00,1.1572,1.1573,1.1569,1.1571,0.0
2025-06-17 07:20:00+02:00,1.1572,1.1574,1.1571,1.1572,0.0
2025-06-17 07:15:00+02:00,1.157,1.1573,1.1569,1.1572,0.0
2025-06-17 07:10:00+02:00,1.1569,1.1572,1.1568,1.157,0.0
2025-06-17 07:05:00+02:00,1.1568,1.1572,1.1567,1.1569,0.0
2025-06-17 07:00:00+02:00,1.1566,1.1569,1.1565,1.1568,0.0
2025-06-17 06:55:00+02:00,1.1565,1.1568,1.1565,1.1567,0.0
2025-06-17 06:50:00+02:00,1.1564,1.1568,1.1564,1.1566,0.0
2025-06-17 06:45:00+02:00,1.1563,1.1565,1.1562,1.1564,0.0
2025-06-17 06:40:00+02:00,1.1561,1.1566,1.1561,1.1562,0.0
2025-06-17 06:35:00+02:00,1.1558,1.1562,1.1557,1.1561,0.0
2025-06-17 06:30:00+02:00,1.156,1.1561,1.1558,1.1559,0.0
2025-06-17 06:25:00+02:00,1.1563,1.1563,1.156,1.156,0.0
2025-06-17 06:20:00+02:00,1.1561,1.1564,1.1559,1.1563,0.0
2025-06-17 06:15:00+02:00,1.1557,1.1564,1.1557,1.1561,0.0
2025-06-17 06:10:00+02:00,1.1559,1.156,1.1555,1.1557,0.0
2025-06-17 06:05:00+02:00,1.1557,1.1559,1.1556,1.1559,0.0
2025-06-17 06:00:00+02:00,1.1559,1.1559,1.1555,1.1556,0.0
2025-06-17 05:55:00+02:00,1.1559,1.1561,1.1559,1.1559,0.0
2025-06-17 05:50:00+02:00,1.1557,1.1559,1.1555,1.1559,0.0
2025-06-17 05:45:00+02:00,1.1556,1.156,1.1554,1.1557,0.0
2025-06-17 05:40:00+02:00,1.1557,1.1558,1.1554,1.1556,0.0
2025-06-17 05:35:00+02:00,1.1556,1.1558,1.1553,1.1557,0.0
2025-06-17 05:30:00+02:00,1.1554,1.1557,1.1554,1.1556,0.0
2025-06-17 05:25:00+02:00,1.1552,1.1556,1.1551,1.1554,0.0
2025-06-17 05:20:00+02:00,1.1556,1.1559,1.155,1.1553,0.0
2025-06-17 05:15:00+02:00,1.1556,1.1557,1.1553,1.1556,0.0
2025-06-17 05:10:00+02:00,1.1557,1.156,1.1554,1.1556,0.0
2025-06-17 05:05:00+02:00,1.1552,1.1558,1.1551,1.1557,0.0
2025-06-17 05:00:00+02:00,1.1555,1.1558,1.155,1.1551,0.0
2025-06-17 04:55:00+02:00,1.1555,1.1559,1.1555,1.1555,0.0
2025-06-17 04:50:00+02:00,1.1557,1.1557,1.1555,1.1556,0.0
2025-06-17 04:45:00+02:00,1.1559,1.1559,1.1555,1.1557,0.0
2025-06-17 04:40:00+02:00,1.1555,1.156,1.1554,1.1559,0.0
2025-06-17 04:35:00+02:00,1.1558,1.156,1.1555,1.1555,0.0
2025-06-17 04:30:00+02:00,1.1556,1.1558,1.1555,1.1558,0.0
2025-06-17 04:25:00+02:00,1.1557,1.1558,1.1554,1.1556,0.0
2025-06-17 04:20:00+02:00,1.1555,1.1559,1.1554,1.1557,0.0
2025-06-17 04:15:00+02:00,1.1552,1.1557,1.1552,1.1555,0.0
2025-06-17 04:10:00+02:00,1.1556,1.1557,1.1552,1.1552,0.0
2025-06-17 04:05:00+02:00,1.1558,1.1559,1.1553,1.1556,0.0
2025-06-17 04:00:00+02:00,1.1561,1.1562,1.1557,1.1558,0.0
2025-06-17 03:55:00+02:00,1.1562,1.1563,1.156,1.1561,0.0
2025-06-17 03:50:00+02:00,1.1555,1.1563,1.1555,1.1562,0.0
2025-06-17 03:45:00+02:00,1.1548,1.1557,1.1548,1.1555,0.0
2025-06-17 03:40:00+02:00,1.1547,1.1552,1.1545,1.1548,0.0
2025-06-17 03:35:00+02:00,1.1556,1.1556,1.1546,1.1547,0.0
2025-06-17 03:30:00+02:00,1.1553,1.1558,1.1552,1.1555,0.0
2025-06-17 03:25:00+02:00,1.1557,1.1558,1.1552,1.1552,0.0
2025-06-17 03:20:00+02:00,1.1556,1.156,1.1554,1.1557,0.0
2025-06-17 03:15:00+02:00,1.156,1.1561,1.1554,1.1556,0.0
2025-06-17 03:10:00+02:00,1.1559,1.1563,1.1558,1.156,0.0
2025-06-17 03:05:00+02:00,1.1562,1.1564,1.1555,1.1558,0.0
2025-06-17 03:00:00+02:00,1.1564,1.1564,1.156,1.1562,0.0
2025-06-17 02:55:00+02:00,1.1568,1.157,1.1562,1.1564,0.0
2025-06-17 02:50:00+02:00,1.1569,1.157,1.1567,1.1568,0.0
2025-06-17 02:45:00+02:00,1.1568,1.1572,1.1567,1.1569,0.0
2025-06-17 02:40:00+02:00,1.1568,1.1568,1.1566,1.1568,0.0
2025-06-17 02:35:00+02:00,1.1565,1.157,1.1562,1.1568,0.0
2025-06-17 02:30:00+02:00,1.1567,1.1568,1.1564,1.1565,0.0
2025-06-17 02:25:00+02:00,1.156,1.1568,1.156,1.1567,0.0
2025-06-17 02:20:00+02:00,1.1562,1.1565,1.156,1.156,0.0
2025-06-17 02:15:00+02:00,1.1557,1.1562,1.1554,1.1561,0.0
2025-06-17 02:10:00+02:00,1.1555,1.1558,1.1554,1.1557,0.0
